Date,Adj. Close
04-01-2016,741.84
05-01-2016,742.58
06-01-2016,743.62
07-01-2016,726.39
08-01-2016,714.47
11-01-2016,716.03
12-01-2016,726.07
13-01-2016,700.56
14-01-2016,714.72
15-01-2016,694.45
19-01-2016,701.79
20-01-2016,698.45
21-01-2016,706.59
22-01-2016,725.25
25-01-2016,711.67
26-01-2016,713.04
27-01-2016,699.99
28-01-2016,730.96
29-01-2016,742.95
01-02-2016,752
02-02-2016,764.65
03-02-2016,726.95
04-02-2016,708.01
05-02-2016,683.57
08-02-2016,682.74
09-02-2016,678.11
10-02-2016,684.12
11-02-2016,683.11
12-02-2016,682.4
16-02-2016,691
17-02-2016,708.4
18-02-2016,697.35
19-02-2016,700.91
22-02-2016,706.46
23-02-2016,695.85
24-02-2016,699.56
25-02-2016,705.75
26-02-2016,705.07
29-02-2016,697.77
01-03-2016,718.81
02-03-2016,718.85
03-03-2016,712.42
04-03-2016,710.89
07-03-2016,695.16
08-03-2016,693.97
09-03-2016,705.24
10-03-2016,712.82
11-03-2016,726.82
14-03-2016,730.49
15-03-2016,728.33
16-03-2016,736.09
17-03-2016,737.78
18-03-2016,737.6
21-03-2016,742.09
22-03-2016,740.75
23-03-2016,738.06
24-03-2016,735.3
28-03-2016,733.53
29-03-2016,744.77
30-03-2016,750.53
31-03-2016,744.95
01-04-2016,749.91
04-04-2016,745.29
05-04-2016,737.8
06-04-2016,745.69
07-04-2016,740.28
08-04-2016,739.15
11-04-2016,736.1
12-04-2016,743.09
13-04-2016,751.72
14-04-2016,753.2
15-04-2016,759
18-04-2016,766.61
19-04-2016,753.93
20-04-2016,752.67
21-04-2016,759.14
22-04-2016,718.77
25-04-2016,723.15
26-04-2016,708.14
27-04-2016,705.84
28-04-2016,691.02
29-04-2016,693.01
02-05-2016,698.21
03-05-2016,692.36
04-05-2016,695.7
05-05-2016,701.43
06-05-2016,711.12
09-05-2016,712.9
10-05-2016,723.18
11-05-2016,715.29
12-05-2016,713.31
13-05-2016,710.83
16-05-2016,716.49
17-05-2016,706.23
18-05-2016,706.63
19-05-2016,700.32
20-05-2016,709.74
23-05-2016,704.24
24-05-2016,720.09
25-05-2016,725.27
26-05-2016,724.12
27-05-2016,732.66
31-05-2016,735.72
01-06-2016,734.15
02-06-2016,730.4
03-06-2016,722.34
06-06-2016,716.55
07-06-2016,716.65
08-06-2016,728.28
09-06-2016,728.58
10-06-2016,719.41
13-06-2016,718.36
14-06-2016,718.27
15-06-2016,718.92
16-06-2016,710.36
17-06-2016,691.72
20-06-2016,693.71
21-06-2016,695.94
22-06-2016,697.46
23-06-2016,701.87
24-06-2016,675.22
27-06-2016,668.26
28-06-2016,680.04
29-06-2016,684.11
30-06-2016,692.1
01-07-2016,699.21
05-07-2016,694.49
06-07-2016,697.77
07-07-2016,695.36
08-07-2016,705.63
11-07-2016,715.09
12-07-2016,720.64
13-07-2016,716.98
14-07-2016,720.95
15-07-2016,719.85
18-07-2016,733.78
19-07-2016,736.96
20-07-2016,741.19
21-07-2016,738.63
22-07-2016,742.74
25-07-2016,739.77
26-07-2016,738.42
27-07-2016,741.77
28-07-2016,745.91
29-07-2016,768.79
01-08-2016,772.88
02-08-2016,771.07
03-08-2016,773.18
04-08-2016,771.61
05-08-2016,782.22
08-08-2016,781.76
09-08-2016,784.26
10-08-2016,784.68
11-08-2016,784.85
12-08-2016,783.22
15-08-2016,782.44
16-08-2016,777.14
17-08-2016,779.91
18-08-2016,777.5
19-08-2016,775.42
22-08-2016,772.15
23-08-2016,772.08
24-08-2016,769.64
25-08-2016,769.41
26-08-2016,769.54
29-08-2016,772.15
30-08-2016,769.09
31-08-2016,767.05
01-09-2016,768.78
02-09-2016,771.46
06-09-2016,780.08
07-09-2016,780.35
08-09-2016,775.32
09-09-2016,759.66
12-09-2016,769.02
13-09-2016,759.69
14-09-2016,762.49
15-09-2016,771.76
16-09-2016,768.88
19-09-2016,765.7
20-09-2016,771.41
21-09-2016,776.22
22-09-2016,787.21
23-09-2016,786.9
26-09-2016,774.21
27-09-2016,783.01
28-09-2016,781.56
29-09-2016,775.01
30-09-2016,777.29
03-10-2016,772.56
04-10-2016,776.43
05-10-2016,776.47
06-10-2016,776.86
07-10-2016,775.08
10-10-2016,785.94
11-10-2016,783.07
12-10-2016,786.14
13-10-2016,778.19
14-10-2016,778.53
17-10-2016,779.96
18-10-2016,795.26
19-10-2016,801.56
20-10-2016,796.97
21-10-2016,799.37
24-10-2016,813.11
25-10-2016,807.67
26-10-2016,799.07
27-10-2016,795.35
28-10-2016,795.37
31-10-2016,784.54
01-11-2016,783.61
02-11-2016,768.7
03-11-2016,762.13
04-11-2016,762.02
07-11-2016,782.52
08-11-2016,790.51
09-11-2016,785.31
10-11-2016,762.56
11-11-2016,754.02
14-11-2016,736.08
15-11-2016,758.49
16-11-2016,764.48
17-11-2016,771.23
18-11-2016,760.54
21-11-2016,769.2
22-11-2016,768.27
23-11-2016,760.99
25-11-2016,761.68
28-11-2016,768.24
29-11-2016,770.84
30-11-2016,758.04
01-12-2016,747.92
02-12-2016,750.5
05-12-2016,762.52
06-12-2016,759.11
07-12-2016,771.19
08-12-2016,776.42
09-12-2016,789.29
12-12-2016,789.27
13-12-2016,796.1
14-12-2016,797.07
15-12-2016,797.85
16-12-2016,790.8
19-12-2016,794.2
20-12-2016,796.42
21-12-2016,794.56
22-12-2016,791.26
23-12-2016,789.91
27-12-2016,791.55
28-12-2016,785.05
29-12-2016,782.79
30-12-2016,771.82
03-01-2017,786.14
04-01-2017,786.9
05-01-2017,794.02
06-01-2017,806.15
09-01-2017,806.65
10-01-2017,804.79
11-01-2017,807.91
12-01-2017,806.36
13-01-2017,807.88
17-01-2017,804.61
18-01-2017,806.07
19-01-2017,802.175
20-01-2017,805.02
23-01-2017,819.31
24-01-2017,823.87
25-01-2017,835.67
26-01-2017,832.15
27-01-2017,823.31
30-01-2017,802.32
31-01-2017,796.79
01-02-2017,795.695
02-02-2017,798.53
03-02-2017,801.49
06-02-2017,801.34
07-02-2017,806.97
08-02-2017,808.38
09-02-2017,809.56
10-02-2017,813.67
13-02-2017,819.24
14-02-2017,820.45
15-02-2017,818.98
16-02-2017,824.16
17-02-2017,828.07
21-02-2017,831.66
22-02-2017,830.76
23-02-2017,831.33
24-02-2017,828.64
27-02-2017,829.28
28-02-2017,823.21
01-03-2017,835.24
02-03-2017,830.63
03-03-2017,829.08
06-03-2017,827.78
07-03-2017,831.91
08-03-2017,835.37
09-03-2017,838.68
10-03-2017,843.25
13-03-2017,845.54
14-03-2017,845.62
15-03-2017,847.2
16-03-2017,848.78
17-03-2017,852.12
20-03-2017,848.4
21-03-2017,830.46
22-03-2017,829.59
23-03-2017,817.58
24-03-2017,814.43
27-03-2017,819.51
28-03-2017,820.92
29-03-2017,831.41
30-03-2017,831.5
31-03-2017,829.56
03-04-2017,838.55
04-04-2017,834.57
05-04-2017,831.41
06-04-2017,827.88
07-04-2017,824.67
10-04-2017,824.73
11-04-2017,823.35
12-04-2017,824.32
13-04-2017,823.56
17-04-2017,837.17
18-04-2017,836.82
19-04-2017,838.21
20-04-2017,841.65
21-04-2017,843.19
24-04-2017,862.76
25-04-2017,872.3
26-04-2017,871.624
27-04-2017,874.25
28-04-2017,905.96
01-05-2017,912.57
02-05-2017,916.44
03-05-2017,927.04
04-05-2017,931.66
05-05-2017,927.13
08-05-2017,934.3
09-05-2017,932.17
10-05-2017,928.78
11-05-2017,930.6
12-05-2017,932.22
15-05-2017,937.08
16-05-2017,943
17-05-2017,919.62
18-05-2017,930.24
19-05-2017,934.01
22-05-2017,941.86
23-05-2017,948.82
24-05-2017,954.96
25-05-2017,969.54
26-05-2017,971.47
30-05-2017,975.88
31-05-2017,964.86
01-06-2017,966.95
02-06-2017,975.6
05-06-2017,983.68
06-06-2017,976.57
07-06-2017,981.08
08-06-2017,983.41
09-06-2017,949.83
12-06-2017,942.9
13-06-2017,953.4
14-06-2017,950.76
15-06-2017,942.31
16-06-2017,939.78
19-06-2017,957.37
20-06-2017,950.63
21-06-2017,959.45
22-06-2017,957.09
23-06-2017,965.59
26-06-2017,952.27
27-06-2017,927.33
28-06-2017,940.49
29-06-2017,917.79
30-06-2017,908.73
03-07-2017,898.7
05-07-2017,911.94
06-07-2017,906.69
07-07-2017,918.59
10-07-2017,928.8
11-07-2017,930.09
12-07-2017,943.83
13-07-2017,947.16
14-07-2017,955.99
17-07-2017,953.42
18-07-2017,965.4
19-07-2017,970.89
20-07-2017,968.15
21-07-2017,972.92
24-07-2017,980.34
25-07-2017,950.7
26-07-2017,947.8
27-07-2017,934.09
28-07-2017,941.53
31-07-2017,930.5
01-08-2017,930.83
02-08-2017,930.39
03-08-2017,923.65
04-08-2017,927.96
07-08-2017,929.36
08-08-2017,926.79
09-08-2017,922.9
10-08-2017,907.24
11-08-2017,914.39
14-08-2017,922.67
15-08-2017,922.22
16-08-2017,926.96
17-08-2017,910.98
18-08-2017,910.67
21-08-2017,906.66
22-08-2017,924.69
23-08-2017,927
24-08-2017,921.28
25-08-2017,915.89
28-08-2017,913.81
29-08-2017,921.29
30-08-2017,929.57
31-08-2017,939.33
01-09-2017,937.34
05-09-2017,928.45
06-09-2017,927.81
07-09-2017,935.95
08-09-2017,926.5
11-09-2017,929.08
12-09-2017,932.07
13-09-2017,935.09
14-09-2017,925.11
15-09-2017,920.29
18-09-2017,915
19-09-2017,921.81
20-09-2017,931.58
21-09-2017,932.45
22-09-2017,928.53
25-09-2017,920.97
26-09-2017,924.86
27-09-2017,944.49
28-09-2017,949.5
29-09-2017,959.11
02-10-2017,953.27
03-10-2017,957.79
04-10-2017,951.68
05-10-2017,969.96
06-10-2017,978.89
09-10-2017,977
10-10-2017,972.6
11-10-2017,989.25
12-10-2017,987.83
13-10-2017,989.68
16-10-2017,992
17-10-2017,992.18
18-10-2017,992.81
19-10-2017,984.45
20-10-2017,988.2
23-10-2017,968.45
24-10-2017,970.54
25-10-2017,973.33
26-10-2017,972.56
27-10-2017,1019.27
30-10-2017,1017.11
31-10-2017,1016.64
01-11-2017,1025.5
02-11-2017,1025.58
03-11-2017,1032.48
06-11-2017,1025.9
07-11-2017,1033.33
09-11-2017,1031.26
10-11-2017,1028.07
13-11-2017,1025.75
14-11-2017,1026
15-11-2017,1020.91
16-11-2017,1032.5
17-11-2017,1019.09
20-11-2017,1018.38
21-11-2017,1034.49
22-11-2017,1035.96
24-11-2017,1040.61
27-11-2017,1054.21
28-11-2017,1047.41
29-11-2017,1021.66
30-11-2017,1021.41
01-12-2017,1010.17
04-12-2017,998.68
05-12-2017,1005.15
06-12-2017,1018.38
07-12-2017,1030.93
08-12-2017,1037.05
11-12-2017,1041.1
12-12-2017,1040.48
13-12-2017,1040.61
14-12-2017,1049.15
15-12-2017,1064.19
18-12-2017,1077.14
19-12-2017,1070.68
20-12-2017,1064.95
21-12-2017,1063.63
22-12-2017,1060.12
26-12-2017,1056.74
27-12-2017,1049.37
28-12-2017,1048.14
29-12-2017,1046.4
02-01-2018,1065
03-01-2018,1082.48
04-01-2018,1086.4
05-01-2018,1102.23
08-01-2018,1106.94
09-01-2018,1106.26
10-01-2018,1102.61
11-01-2018,1105.52
12-01-2018,1122.26
16-01-2018,1121.76
17-01-2018,1131.98
18-01-2018,1129.79
19-01-2018,1137.51
22-01-2018,1155.81
23-01-2018,1169.97
24-01-2018,1164.24
25-01-2018,1170.37
26-01-2018,1175.84
29-01-2018,1175.58
30-01-2018,1163.69
31-01-2018,1169.94
01-02-2018,1167.7
02-02-2018,1111.9
05-02-2018,1064.35
06-02-2018,1080.6
07-02-2018,1048.58
08-02-2018,1001
09-02-2018,1035.88
12-02-2018,1051.94
13-02-2018,1052.1
14-02-2018,1069.7
15-02-2018,1089.52
16-02-2018,1094.8
20-02-2018,1102.46
21-02-2018,1111.34
22-02-2018,1106.63
23-02-2018,1126.79
26-02-2018,1143.75
27-02-2018,1118.29
28-02-2018,1104.73
01-03-2018,1069.52
02-03-2018,1078.92
05-03-2018,1090.93
06-03-2018,1095.06
07-03-2018,1109.64
08-03-2018,1126
09-03-2018,1160.04
12-03-2018,1164.5
13-03-2018,1138.17
14-03-2018,1149.49
15-03-2018,1149.58
16-03-2018,1135.73
19-03-2018,1099.82
20-03-2018,1097.71
21-03-2018,1090.88
22-03-2018,1049.08
23-03-2018,1021.57
26-03-2018,1053.21
27-03-2018,1005.1
