Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
04-01-2016,54.32,54.8,53.39,54.8,53777963,0,1,51.72453271,52.1815978,50.8389691,52.1815978,53777963
05-01-2016,54.93,55.39,54.54,55.05,34079674,0,1,52.30538626,52.74340697,51.93402088,52.41965253,34079674
06-01-2016,54.32,54.4001,53.64,54.05,39518863,0,1,51.72453271,51.80080545,51.07702383,51.4674336,39518863
07-01-2016,52.7,53.485,52.07,52.17,56564852,0,1,50.18193803,50.9294299,49.5820401,49.67726199,56564852
08-01-2016,52.37,53.28,52.15,52.33,48753969,0,1,49.86770578,50.73422501,49.65821761,49.82961702,48753969
11-01-2016,52.51,52.85,51.46,52.3,36943756,0,1,50.00101643,50.32477087,49.00118655,49.80105045,36943756
12-01-2016,52.76,53.1,52.06,52.78,36095539,0,1,50.23907117,50.5628256,49.57251791,50.25811554,36095539
13-01-2016,53.8,54.07,51.3038,51.64,66883571,0,1,51.22937886,51.48647797,48.85244995,49.17258596,66883571
14-01-2016,52,53.4163,51.57,53.11,52381918,0,1,49.51538477,50.86401245,49.10593063,50.57234779,52381918
15-01-2016,51.31,51.97,50.34,50.99,71820697,0,1,48.85835371,49.4868182,47.93470134,48.55364365,71820697
19-01-2016,51.48,51.68,50.06,50.56,43564538,0,1,49.02023093,49.21067471,47.66808003,48.1441895,43564538
20-01-2016,49.98,51.38,49.1,50.79,63272993,0,1,47.59190252,48.92500903,46.75394985,48.36319986,63272993
21-01-2016,51,51.58,50.3,50.48,40191157,0,1,48.56316583,49.11545282,47.89661258,48.06801199,40191157
22-01-2016,51.41,52.33,51.26,52.29,37555789,0,1,48.9535756,49.82961702,48.81074276,49.79152826,37555789
25-01-2016,51.94,52.65,51.65,51.79,34707717,0,1,49.45825164,50.13432708,49.18210814,49.3154188,34707717
26-01-2016,51.79,52.44,51.55,52.17,28900820,0,1,49.3154188,49.93436111,49.08688625,49.67726199,28900820
27-01-2016,52.01,52.2,51.0201,51.22,36775194,0,1,49.52490696,49.70582856,48.58230544,48.772654,36775194
28-01-2016,51.86,52.21,51.25,52.055,62513789,0,1,49.38207412,49.71535075,48.80122057,49.56775681,62513789
29-01-2016,54.73,55.09,54,55.09,83611686,0,1,52.11494247,52.45774129,51.41982265,52.45774129,83611686
01-02-2016,54.88,55.09,54.495,54.71,44208542,0,1,52.25777531,52.45774129,51.89117102,52.09589809,44208542
02-02-2016,54.17,54.26,52.65,53,56313753,0,1,51.58169987,51.66739957,50.13432708,50.46760371,56313753
03-02-2016,53.25,53.39,51.26,52.16,57559814,0,1,50.70565845,50.8389691,48.81074276,49.6677398,57559814
04-02-2016,52.1,52.81,51.37,52,46987123,0,1,49.61060667,50.28668211,48.91548684,49.51538477,46987123
05-02-2016,51.94,52,49.56,50.16,62008994,0,1,49.45825164,49.51538477,47.19197056,47.76330193,62008994
08-02-2016,49.55,49.57,48.19,49.41,59290497,0,1,47.18244837,47.20149275,45.88743062,47.04913772,59290497
09-02-2016,49.02,50.24,48.67,49.28,46740474,0,1,46.67777234,47.83947944,46.34449571,46.92534926,46740474
10-02-2016,49.89,50.39,49.52,49.71,38236954,0,1,47.50620281,47.98231228,47.15388181,47.3348034,38236954
11-02-2016,48.68,50.11,48.51,49.69,48878571,0,1,46.3540179,47.71569098,46.19214068,47.31575903,48878571
12-02-2016,50.25,50.68,49.75,50.5,34243324,0,1,47.84900163,48.25845577,47.37289216,48.08705637,34243324
16-02-2016,50.9,51.09,50.13,51.09,37291208,0.36,1,48.80946791,48.99166436,48.07109286,48.99166436,37291208
17-02-2016,51.49,52.77,51.45,52.42,40788968,0,1,49.37523581,50.60266448,49.33687867,50.26703945,40788968
18-02-2016,52.33,52.95,52.1,52.19,27176035,0,1,50.18073587,50.77527163,49.96018229,50.04648586,27176035
19-02-2016,51.97,52.28,51.53,51.82,33559073,0,1,49.83552156,50.13278944,49.41359296,49.69168227,33559073
22-02-2016,52.28,53,52.28,52.65,25008291,0,1,50.13278944,50.82321806,50.13278944,50.48759304,25008291
23-02-2016,52.34,52.37,50.98,51.18,28895274,0,1,50.19032516,50.21909302,48.88618221,49.07796793,28895274
24-02-2016,50.69,51.5,50.2,51.36,33014457,0,1,48.6080929,49.3848251,48.13821786,49.25057509,33014457
25-02-2016,51.73,52.1,50.61,52.1,26939467,0,1,49.60537869,49.96018229,48.53137861,49.96018229,26939467
26-02-2016,52.6,52.68,51.1,51.3,35975925,0,1,50.43964661,50.5163609,49.00125364,49.19303937,35975925
29-02-2016,51.35,51.65,50.66,50.88,31654036,0,1,49.2409858,49.5286644,48.57932504,48.79028934,31654036
01-03-2016,50.97,52.59,50.9199,52.58,33024535,0,1,48.87659292,50.43005732,48.82855059,50.42046803,33024535
02-03-2016,52.41,52.96,52.155,52.95,29289884,0,1,50.25745017,50.78486092,50.01292336,50.77527163,29289884
03-03-2016,52.97,52.97,51.78,52.35,24427813,0,1,50.79445021,50.79445021,49.65332512,50.19991445,24427813
04-03-2016,52.4,52.45,51.71,52.03,33034150,0,1,50.24786088,50.29580731,49.58620012,49.89305728,33034150
07-03-2016,51.56,51.8,50.58,51.03,38428816,0,1,49.44236082,49.67250369,48.50261075,48.93412864,38428816
08-03-2016,50.8,52.13,50.595,51.65,33075517,0,1,48.71357505,49.98895015,48.51699468,49.5286644,33075517
09-03-2016,51.89,52.85,51.855,52.84,28251588,0,1,49.75880727,50.67937877,49.72524477,50.66978948,28251588
10-03-2016,52.93,52.94,51.16,52.05,38387804,0,1,50.75609306,50.76568235,49.05878936,49.91223585,38387804
11-03-2016,53,53.07,52.38,53.07,32275677,0,1,50.82321806,50.89034307,50.22868231,50.89034307,32275677
14-03-2016,52.71,53.59,52.63,53.17,24083616,0,1,50.54512876,51.38898596,50.46841447,50.98623593,24083616
15-03-2016,52.75,53.59,52.74,53.59,21104763,0,1,50.5834859,51.38898596,50.57389662,51.38898596,21104763
16-03-2016,53.45,54.6,53.4,54.35,31691742,0,1,51.25473595,52.35750389,51.20678952,52.11777173,31691742
17-03-2016,54.21,55,54,54.66,28223947,0,1,51.98352172,52.74107535,51.78214671,52.41503961,28223947
18-03-2016,54.92,54.97,53.445,53.49,67625518,0,1,52.66436106,52.71230749,51.24994131,51.2930931,67625518
21-03-2016,53.25,53.9298,52.93,53.86,23925716,0,1,51.06295023,51.71482992,50.75609306,51.6478967,23925716
22-03-2016,53.61,54.25,53.46,54.07,23124143,0,1,51.40816454,52.02187887,51.26432524,51.84927171,23124143
23-03-2016,54.11,54.24,53.74,53.97,20129015,0,1,51.88762886,52.01228958,51.53282526,51.75337885,20129015
24-03-2016,53.84,54.33,53.73,54.21,19949972,0,1,51.62871812,52.09859316,51.52323597,51.98352172,19949972
28-03-2016,54.21,54.29,53.33,53.54,17025050,0,1,51.98352172,52.06023601,51.13966452,51.34103953,17025050
29-03-2016,53.66,54.86,53.45,54.71,23924329,0,1,51.45611097,52.60682534,51.25473595,52.46298604,23924329
30-03-2016,54.93,55.64,54.9,55.05,23008260,0,1,52.67395034,53.35478968,52.64518249,52.78902178,23008260
31-03-2016,54.95,55.59,54.86,55.23,26360495,0,1,52.69312892,53.30684325,52.60682534,52.96162894,26360495
01-04-2016,55.05,55.61,54.57,55.57,24399193,0,1,52.78902178,53.32602182,52.32873603,53.28766468,24399193
04-04-2016,55.43,55.66,55,55.43,18928810,0,1,53.15341467,53.37396825,52.74107535,53.15341467,18928810
05-04-2016,55.19,55.3,54.46,54.56,19272255,0,1,52.92327179,53.02875394,52.22325388,52.31914675,19272255
06-04-2016,54.36,55.2,54.21,55.12,21188682,0,1,52.12736102,52.93286108,51.98352172,52.85614679,21188682
07-04-2016,54.87,54.91,54.23,54.46,19225092,0,1,52.61641463,52.65477177,52.0027003,52.22325388,19225092
08-04-2016,54.67,55.28,54.32,54.42,22167223,0,1,52.4246289,53.00957537,52.08900387,52.18489674,22167223
11-04-2016,54.49,55.15,54.3,54.31,21414227,0,1,52.25202174,52.88491465,52.0698253,52.07941459,21414227
12-04-2016,54.37,54.78,53.76,54.65,24944288,0,1,52.13695031,52.53011105,51.55200383,52.40545033,24944288
13-04-2016,55.12,55.4375,54.89,55.35,20817961,0,1,52.85614679,53.16060663,52.6355932,53.07670037,20817961
14-04-2016,55.22,55.575,55.07,55.36,20877108,0,1,52.95203965,53.29245932,52.80820035,53.08628966,20877108
15-04-2016,55.3,55.92,55.11,55.65,28793753,0,1,53.02875394,53.6232897,52.8465575,53.36437897,28793753
18-04-2016,55.49,56.59,55.21,56.46,23785950,0,1,53.21095038,54.26577189,52.94245036,54.14111117,23785950
